country_sk,data
3992,"{""gdp"": 98576, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 16624858, ""country_name"": ""Ecuador""}"
3993,"{""gdp"": 17105, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 16529904, ""country_name"": ""Zimbabwe""}"
3994,"{""gdp"": 22252, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 16005373, ""country_name"": ""Cambodia""}"
3995,"{""gdp"": 16057, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 15850567, ""country_name"": ""Senegal""}"
3996,"{""gdp"": 9740, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 14899994, ""country_name"": ""Chad""}"
3997,"{""gdp"": null, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 14742523, ""country_name"": ""Somalia""}"
3998,"{""gdp"": 9183, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 12717176, ""country_name"": ""Guinea""}"
3999,"{""gdp"": 2915, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 12575714, ""country_name"": ""South Sudan""}"
4000,"{""gdp"": 8918, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 12208407, ""country_name"": ""Rwanda""}"
4001,"{""gdp"": 39883, ""region"": ""Northern Africa"", ""continent"": ""Africa"", ""population"": 11532127, ""country_name"": ""Tunisia""}"
4002,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 11484636, ""country_name"": ""Cuba""}"
4003,"{""gdp"": 491672, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 11429336, ""country_name"": ""Belgium""}"
4004,"{""gdp"": 9410, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 11175692, ""country_name"": ""Benin""}"
4005,"{""gdp"": 204299, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 11159773, ""country_name"": ""Greece""}"
4006,"{""gdp"": 37776, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 11051600, ""country_name"": ""Bolivia""}"
4007,"{""gdp"": 8360, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 10981229, ""country_name"": ""Haiti""}"
4008,"{""gdp"": 3393, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 10864245, ""country_name"": ""Burundi""}"
4009,"{""gdp"": 74837, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 10766998, ""country_name"": ""Dominican Republic""}"
4010,"{""gdp"": 209652, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 10618303, ""country_name"": ""Czech Republic""}"
4011,"{""gdp"": 211696, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 10329506, ""country_name"": ""Portugal""}"
4012,"{""gdp"": 541889, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 9910701, ""country_name"": ""Sweden""}"
4013,"{""gdp"": 39207, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 9827589, ""country_name"": ""Azerbaijan""}"
4014,"{""gdp"": 132034, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 9721559, ""country_name"": ""Hungary""}"
4015,"{""gdp"": 40487, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 9702353, ""country_name"": ""Jordan""}"
4016,"{""gdp"": 52783, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 9468338, ""country_name"": ""Belarus""}"
4017,"{""gdp"": 378656, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 9400145, ""country_name"": ""United Arab Emirates""}"
4018,"{""gdp"": 22675, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 9265067, ""country_name"": ""Honduras""}"
4019,"{""gdp"": 7234, ""region"": ""Central Asia"", ""continent"": ""Asia"", ""population"": 8921343, ""country_name"": ""Tajikistan""}"
4020,"{""gdp"": 39366, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 8790574, ""country_name"": ""Serbia""}"
4021,"{""gdp"": 409316, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 8735453, ""country_name"": ""Austria""}"
4022,"{""gdp"": 680645, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 8476005, ""country_name"": ""Switzerland""}"
4023,"{""gdp"": 348006, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 8321570, ""country_name"": ""Israel""}"
4024,"{""gdp"": 21811, ""region"": ""Melanesia"", ""continent"": ""Oceania"", ""population"": 8251162, ""country_name"": ""Papua New Guinea""}"
4025,"{""gdp"": 4797, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 7797694, ""country_name"": ""Togo""}"
4026,"{""gdp"": 3897, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 7557212, ""country_name"": ""Sierra Leone""}"
4027,"{""gdp"": 334104, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 7364883, ""country_name"": ""Hong Kong""}"
4028,"{""gdp"": 55954, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 7084571, ""country_name"": ""Bulgaria""}"
4029,"{""gdp"": 17152, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 6858160, ""country_name"": ""Laos""}"
4030,"{""gdp"": 28780, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 6811297, ""country_name"": ""Paraguay""}"
4031,"{""gdp"": 27407, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 6377853, ""country_name"": ""El Salvador""}"
4032,"{""gdp"": 33314, ""region"": ""Northern Africa"", ""continent"": ""Africa"", ""population"": 6374616, ""country_name"": ""Libya""}"
4033,"{""gdp"": 13692, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 6217581, ""country_name"": ""Nicaragua""}"
4034,"{""gdp"": 52698, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 6082357, ""country_name"": ""Lebanon""}"
4035,"{""gdp"": 7061, ""region"": ""Central Asia"", ""continent"": ""Asia"", ""population"": 6045117, ""country_name"": ""Kyrgyzstan""}"
4036,"{""gdp"": 41670, ""region"": ""Central Asia"", ""continent"": ""Asia"", ""population"": 5758075, ""country_name"": ""Turkmenistan""}"
4037,"{""gdp"": 324146, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 5733551, ""country_name"": ""Denmark""}"
4038,"{""gdp"": 305757, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 5708844, ""country_name"": ""Singapore""}"
4039,"{""gdp"": 251381, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 5523231, ""country_name"": ""Finland""}"
